wd,sla,hmax,mat,lambda,wd_rs,sla_rs,hmax_rs
-2.4804816645251315,-1.8623883944670079,0,5,0.9996081009267392,0.305,3.441752182166667,25.831007458502796
-2.3625062024258856,-1.8623883944670079,0,5,1.0000367713768068,0.3126353252927827,3.441752182166667,25.831007458502796
-2.2445307403266392,-1.8623883944670079,0,5,1.0004175488954516,0.32046179219975096,3.441752182166667,25.831007458502796
-2.1265552782273933,-1.8623883944670079,0,5,1.0007416901286632,0.3284841857320567,3.441752182166667,25.831007458502796
-2.008579816128147,-1.8623883944670079,0,5,1.0010014413721107,0.33670741068811927,3.441752182166667,25.831007458502796
-1.890604354028901,-1.8623883944670079,0,5,1.001190326821835,0.3451364946523631,3.441752182166667,25.831007458502796
-1.772628891929655,-1.8623883944670079,0,5,1.0013033868757066,0.3537765910690239,3.441752182166667,25.831007458502796
-1.6546534298304088,-1.8623883944670079,0,5,1.0013373414450994,0.3626329823929051,3.441752182166667,25.831007458502796
-1.5366779677311626,-1.8623883944670079,0,5,1.0012906650220488,0.37171108331900926,3.441752182166667,25.831007458502796
-1.4187025056319165,-1.8623883944670079,0,5,1.001163571737967,0.38101644409302,3.441752182166667,25.831007458502796
-1.3007270435326703,-1.8623883944670079,0,5,1.0009579179787433,0.3905547539046579,3.441752182166667,25.831007458502796
-1.1827515814334242,-1.8623883944670079,0,5,1.0006770363627073,0.40033184436598496,3.441752182166667,25.831007458502796
-1.0647761193341783,-1.8623883944670079,0,5,1.0003255180136397,0.41035369307678476,3.441752182166667,25.831007458502796
-0.9468006572349321,-1.8623883944670079,0,5,0.9999089606614907,0.42062642727919775,3.441752182166667,25.831007458502796
-0.828825195135686,-1.8623883944670079,0,5,0.9994336990360593,0.43115632760384587,3.441752182166667,25.831007458502796
-0.7108497330364398,-1.8623883944670079,0,5,0.9989065321068783,0.44194983190973747,3.441752182166667,25.831007458502796
-0.5928742709371937,-1.8623883944670079,0,5,0.9983344595690442,0.4530135392202997,3.441752182166667,25.831007458502796
-0.4748988088379478,-1.8623883944670079,0,5,0.9977244378899884,0.4643542137579448,3.441752182166667,25.831007458502796
-0.3569233467387014,-1.8623883944670079,0,5,0.9970831642655792,0.4759787890796375,3.441752182166667,25.831007458502796
-0.2389478846394555,-1.8623883944670079,0,5,0.9964168948752078,0.48789437231599103,3.441752182166667,25.831007458502796
-0.12097242254020912,-1.8623883944670079,0,5,0.9957313017282164,0.5001082485164848,3.441752182166667,25.831007458502796
-0.0029969604409632034,-1.8623883944670079,0,5,0.9950313700978718,0.5126278851034591,3.441752182166667,25.831007458502796
0.11497850165828316,-1.8623883944670079,0,5,0.9943213361222022,0.5254609364376105,3.441752182166667,25.831007458502796
0.23295396375752908,-1.8623883944670079,0,5,0.9936046618224708,0.5386152484977789,3.441752182166667,25.831007458502796
0.350929425856775,-1.8623883944670079,0,5,0.9928840428201049,0.5520988636778887,3.441752182166667,25.831007458502796
0.46890488795602137,-1.8623883944670079,0,5,0.9921614426531707,0.5659200257039751,3.441752182166667,25.831007458502796
0.5868803500552673,-1.8623883944670079,0,5,0.9914381469276882,0.5800871846743023,3.441752182166667,25.831007458502796
0.7048558121545137,-1.8623883944670079,0,5,0.9907148305727946,0.5946090022256558,3.441752182166667,25.831007458502796
0.8228312742537596,-1.8623883944670079,0,5,0.989991632070048,0.6094943568289667,3.441752182166667,25.831007458502796
0.9408067363530059,-1.8623883944670079,0,5,0.9892682295003871,0.6247523492175062,3.441752182166667,25.831007458502796
