plt_cn,lon,lat,mat,remper
36099662020004,-88.253156,31.679703,18.82771708211692,7.1
36099976020004,-88.208554,32.299588,18.448481013335044,6.5
36100114020004,-88.305819,32.301125,18.448380118272333,6.5
36099623020004,-88.198698,32.209694,18.47414420989594,5.5
36099820020004,-88.165639,32.606341,18.249531669393555,6.5
36099503020004,-87.443491,32.247205,18.580901104659233,5.9
36099341020004,-86.632594,32.595122,18.034345759413135,6.4
36099363020004,-86.533942,32.426908,18.878917583651464,6.3
36100059020004,-86.578849,32.68873,17.65713882027098,6.4
36099797020004,-85.587037,33.004494,17.323526087281984,6.6
36099916020004,-86.4123,32.755245,17.89997225653118,6.4
36099718020004,-87.006393,32.7408,17.86541067819448,6.3
36100082020004,-86.800522,32.99109,17.710571618384613,6.4
36099901020004,-86.597861,33.040563,17.68876352084738,6.4
36099904020004,-86.538814,32.816203,17.848395416947383,6.4
36099719020004,-87.019403,32.644004,18.07533123736807,7
36099385020004,-86.181454,32.514124,18.150175116026645,6.4
36100079020004,-85.977835,32.695039,17.64471938393593,6.4
36100099020004,-85.411495,32.693805,17.34708703602708,6.1
36099409020004,-85.258211,32.692106,17.54099050399409,6.2
36100100020004,-85.108471,32.566969,18.124789761851293,5.9
36099736020004,-86.905687,32.202887,18.21255614192679,6.1
36099944020004,-85.777642,32.479214,18.34672865671083,7.3
36099586020004,-85.674303,32.392396,18.170255586121712,7.3
36099402020004,-85.411318,32.308666,18.066993599820343,6.9
36099942020004,-85.648347,32.847224,17.24525235796093,6.9
36100097020004,-85.87633,32.698398,17.60975648439255,6.9
36099383020004,-85.936726,32.823139,17.70750435099933,6.9
36100096020004,-85.828557,32.777257,17.542768405195005,6.9
36099800020004,-85.7793,32.780141,17.29079787034957,6.9
36099801020004,-85.78045,32.82309,17.378136041245604,6.9
36099697020004,-87.39741,32.947383,17.879594762225572,6
36099492020004,-87.244263,32.862061,17.62408729267588,6
36099826020004,-87.112171,32.887477,17.863078128174696,6
36100008020004,-87.664936,33.813316,16.64361554008533,6.3
36100016020004,-87.923406,33.556967,17.196880701078985,6.2
36099444020004,-87.818118,33.866279,16.347352507138048,6.2
36100010020004,-87.70667,33.731586,16.898078716328207,6.2
36100035020004,-87.604967,32.692328,18.832763572979168,6.5
36099806020004,-87.5483,32.776321,18.57644482585309,6.5
36099983020004,-87.500082,32.869009,18.10892923978485,6.5
36099692020004,-88.138014,33.783556,17.223315154042748,6.1
36099441020004,-87.82482,34.169863,16.44013153251419,6.3
36099440020004,-87.719028,34.118349,16.471864713996986,6.3
36099621020004,-88.087717,34.170453,16.398075882497615,6.3
36099978020004,-87.676438,34.248231,16.61613005678356,6.3
36099690020004,-88.1872,34.084949,16.743036529680378,6.3
36099442020004,-87.978832,34.167395,16.287378011613367,6.3
36099494020004,-87.284289,32.81925,17.703340818923568,6
36099989020004,-87.979644,33.381162,17.605106997155467,6.9
36099992020004,-88.240051,33.471638,17.619365362302574,6.9
36099990020004,-88.083626,33.478156,17.40446711954487,6.9
36099991020004,-88.13183,33.393337,17.588536754248075,6.8
