species,wd,sla,hmax
Magnolia grandiflora,0.44053333333333333,12.645726958637232,28.990000000000002
Magnolia virginiana,0.44999999999999996,15.732136337821775,19.50114285714286
Morus alba,0.6017771166666667,17.02479602457818,19.413333333333334
Nyssa sylvatica,0.5097450802954613,19.533643491950617,32.05882352941177
Ostrya virginiana,0.63,30.710783255071036,15.024666666666665
Oxydendrum arboreum,0.5449999999999999,28.374670194,19.666666666666664
Picea abies,0.4681005873202767,6.073227120330314,50.111111111111114
Picea glauca,0.4142569026021609,3.441752182166667,29.0625
Picea mariana,0.43647878300495274,4.162533326999816,23.25925925925926
Picea rubens,0.39,10.1235,32.84733333333333
Pinus banksiana,0.43000000000000005,5.772914296717505,24.692
Pinus echinata,0.5052872022266144,8.319,38.66666666666667
Pinus elliottii,0.6000000000000001,5.306902799056667,28.81142857142857
Pinus glabra,0.43,10.968824830275,28.216
Pinus palustris,0.5800000000000001,3.6481642091507798,35.19755555555555
Pinus pungens,0.52,7.586,16.174545454545456
Pinus resinosa,0.45999999999999996,4.935441748074572,27.101090909090907
Pinus rigida,0.495,5.907333333333335,16.04
Pinus strobus,0.355,8.890717387992627,48.48857142857143
Pinus sylvestris,0.43475741971294646,4.395846875604673,39.72549019607843
Pinus taeda,0.48945046705834866,10.407842048875402,38.6552380952381
Pinus virginiana,0.485,6.4668652412725,23.034666666666666
Platanus occidentalis,0.4241666666666667,20.8180336946932,34.393846153846155
Populus balsamifera,0.32999999999999996,20.00731038477036,29.666666666666664
Populus deltoides,0.43168582125,13.071109459548254,40.45882352941177
Populus grandidentata,0.385,16.539770921679775,21.239333333333335
Populus tremuloides,0.3575,17.391015596219876,17.535714285714285
Prunus avium,0.56018431405784,18.402366480830754,24.5
Prunus pensylvanica,0.36,18.28044107375,19.572
Prunus serotina,0.5,19.134468617148745,34.35
Quercus alba,0.649801389266257,17.883326144472427,37.36666666666667
Quercus bicolor,0.6716666666666666,15.27,25.884615384615387
Quercus coccinea,0.6266666666666667,14.075151319781249,27.45
Quercus falcata,0.6129516454351314,8.870090814080395,23.083333333333332
Quercus laurifolia,0.6185,12.507226514489217,22.468
Quercus macrocarpa,0.625,14.40081909124483,30.884615384615387
Quercus michauxii,0.6676666666666666,12.720605478595875,34.205
Quercus nigra,0.652026366671745,10.90366433245395,28.660444444444444
Quercus palustris,0.63,13.512104961999999,30.115000000000002
Quercus phellos,0.64404385483974,13.741719954116666,29.962222222222223
Quercus rubra,0.6351212036159087,14.954103992504097,39.9375
Quercus shumardii,0.644,11.847222233333333,32.192571428571426
Quercus stellata,0.7107757722801896,12.141463920784284,21.458666666666666
Quercus velutina,0.615,14.555459821317024,38.95454545454545
Robinia pseudoacacia,0.6454244,26.601135270905306,23.93752380952381
Salix nigra,0.385,17.066120218583333,30.81818181818182
Sassafras albidum,0.46349999999999997,23.51569359384137,22.715714285714284
Thuja occidentalis,0.305,4.963708876666667,17.792727272727273
Tilia americana,0.36,26.853451682842937,34.55555555555556
Tsuga canadensis,0.405,6.9767898089992375,31.970222222222223
Ulmus alata,0.665,22.70636969334375,20.048857142857145
Ulmus americana,0.505,14.96862794707255,36.57142857142857
Ulmus rubra,0.5249999999999999,21.52897516622589,27.854
