b_Intercept,b_hu_Intercept,shape
-1.644282763977554,-0.6678394935912318,1.1396472312975987
-1.6789325866589295,-0.6400188098017902,1.0866385729895451
-1.6542340906451625,-0.6134770962805176,1.0766530884786207
-1.676275678840537,-0.680274197601527,1.1422901016240103
-1.675452025986821,-0.6997909081864527,1.1286138173183209
-1.6859686702186,-0.696737839239061,1.092539870035024
-1.680814581286405,-0.6758408590973051,1.0998780995030586
-1.6200001307770118,-0.6082011178600351,1.1248809951067396
-1.6510645407900095,-0.64765042959968,1.1058288107577947
-1.660726648090399,-0.6556967601831536,1.1131045398126587
-1.6552623375127269,-0.6828590413018972,1.1091024913954401
-1.6433933868278612,-0.7018546185099943,1.1293637962801983
-1.6859701045649615,-0.5954223723989167,1.102106011392887
-1.6355784336861245,-0.7340539738824569,1.1194955383962661
-1.6700313761324854,-0.6784169942285336,1.1430543446325405
-1.6432697061595367,-0.6298293361745978,1.0939111564792752
-1.6660407240539181,-0.6201632983385311,1.144984586277192
-1.6346687099574886,-0.6348312181501541,1.0822347586205767
-1.6402945417192785,-0.6883234857921745,1.0533363908455218
-1.672465011254492,-0.6288365316391107,1.0888288115321314
-1.677831926881666,-0.6598828660512368,1.1435493288733147
-1.677831926881666,-0.6598828660512368,1.1435493288733147
-1.6727999641897318,-0.665040104964932,1.0917597460766248
-1.6564200692568742,-0.6955653437736398,1.1086617138775126
-1.6699359557933346,-0.6066871104686574,1.1066598503334009
-1.6537302938638574,-0.6332109568851999,1.10040023981995
-1.6470165141480615,-0.6330386816924815,1.1376687978252071
-1.6540400775652166,-0.684048263353665,1.075930263908242
-1.6462797949875445,-0.6537955889444449,1.1434660764398525
-1.665967713176098,-0.6459858859701059,1.0858114662132885
-1.679056536440456,-0.6348752647563226,1.1101155911304157
-1.6755208752191009,-0.6622150001946441,1.1199075859567773
-1.6394048971331394,-0.6594998180403558,1.121492914321434
-1.6734434384534311,-0.6709031862011706,1.1058912630941755
-1.687707152730074,-0.7125674322122815,1.1597433915704731
-1.6784185188026584,-0.6332652549152082,1.1348234012419773
-1.623416600872638,-0.6516563713260929,1.084502592995248
-1.6704743746271102,-0.6580323335079232,1.0936414022767695
-1.6580646441426303,-0.6747066470754505,1.126730847490558
-1.6812074931080168,-0.6668726033790964,1.0886474377589412
-1.6673327207735515,-0.6807705154277406,1.0803123412308995
-1.6628029672439084,-0.6289073315107556,1.1399363642758371
-1.65920911490161,-0.6733139483622181,1.0821897825800935
-1.644511120806629,-0.6464343072904748,1.1324096170866622
-1.643841091996425,-0.6317721852021232,1.1205993831621832
-1.664811191067565,-0.6516459911156772,1.0571261605871032
-1.6614873364938783,-0.6735291827023945,1.0856168528908772
-1.6247543911660045,-0.6685888624258765,1.0994479274315738
-1.678533011590512,-0.588301112570686,1.1196987308744994
-1.6749866842815053,-0.6022918483142858,1.107856609320241
-1.6646803161449586,-0.6842422121146863,1.1077958572494901
-1.6465007101505489,-0.6453571552208853,1.1051233507044125
